"YearMonth","StockPack","Count","P.lst.number","Main.Transport.No","Warehouse","Transport.Mode","Carrier","Destination.City","P.lst.Destination.Zip.Code","Destination.Country","Load.Closed.Date","Expected.Time.of.Arrival","POD_ATA","Leadtime..avg.","POD_ATA.Exists","On.Time.Delivery..OTD.","Arrived.at.Harbour.Airport..ATA.","Actual.Delivery.Date..POD."
"NA - NA","Z159912",2,"Z159912","6673346760","23","Land","Sandvik CSRT","VANTAA","01720","FinLand","2023-03-08","-","2023-03-10","2","Yes","-","2023-03-10","2023-03-10"
"NA - NA","Z159912",2,"Z159912","6673346760","23","Land","Sandvik CSRT","VANTAA","01720","Finland","2023-03-08","-","2023-03-10","2","Yes","-","2023-03-10","2023-03-10"
"NA - NA","Z159914",1,"Z159914","6673348154","38","Land","Sandvik CSRT","AUBURN NH","03032","United States","2023-03-08","-","2023-03-09","1","Yes","-","2023-03-09","2023-03-09"
"NA - NA","Z159914",1,"Z159914","6673348154","38","Land","Sandvik CSRT","AUBURN NH","03032","United States","2023-03-08","-","2023-03-09","1","Yes","-","2023-03-09","2023-03-09"
"NA - NA","Z159920",1,"Z159920","356033100","37","Land","TNT NetherLands","MATLOCK","DE4 3QU","United Kingdom","2023-03-08","2023-03-10","2023-03-13","5","Yes","No","-","2023-03-13"
"NA - NA","Z159941",1,"Z159941","JGAM8532385249SDX","C4","Land","SuperGroup","AGGENEYS","8893","South Africa","2023-03-08","2023-03-10","2023-03-09","1","Yes","Yes","-","2023-03-09"
"NA - NA","Z159950",1,"Z159950","6673346869","23","Land","Sandvik CSRT","KRISTINEBERG","92040","Sweden","2023-03-08","-","2023-03-09","1","Yes","-","2023-03-09","2023-03-09"
"NA - NA","Z159950",1,"Z159950","6673346869","23","Land","Sandvik CSRT","KRISTINEBERG","92040","Sweden","2023-03-08","-","2023-03-09","1","Yes","-","2023-03-09","2023-03-09"
"NA - NA","Z159953",1,"Z159953","6673344526","12","Land","Sandvik CSRT","VENLO","5928LT","Netherlands","2023-03-08","-","2023-03-17","9","Yes","-","2023-03-17","2023-03-17"
"NA - NA","Z159953",1,"Z159953","6673344526","12","Land","Sandvik CSRT","VENLO","5928LT","NetherLands","2023-03-08","-","2023-03-17","9","Yes","-","2023-03-17","2023-03-17"
"NA - NA","Z159954",2,"Z159954","6673346869","23","Land","Sandvik CSRT","KRISTINEBERG","92040","Sweden","2023-03-08","-","2023-03-09","1","Yes","-","2023-03-09","2023-03-09"
"NA - NA","Z159954",2,"Z159954","6673346869","23","Land","Sandvik CSRT","KRISTINEBERG","92040","Sweden","2023-03-08","-","2023-03-09","1","Yes","-","2023-03-09","2023-03-09"
"NA - NA","Z159955",1,"Z159955","JSAN1982385253SDX004","C4","Land","SuperGroup","CAPE TOWN","7","South Africa","2023-03-08","2023-03-10","2023-03-09","1","Yes","Yes","-","2023-03-09"
"NA - NA","Z159956",1,"Z159956","6673347859","23","Land","Sandvik CSRT","GRIMSTAD","4886","Norway","2023-03-08","-","2023-03-13","4","Yes","-","2023-03-13","2023-03-13"
"NA - NA","Z159956",1,"Z159956","6673347859","23","Land","Sandvik CSRT","GRIMSTAD","4886","Norway","2023-03-08","-","2023-03-13","4","Yes","-","2023-03-13","2023-03-13"
"NA - NA","Z159958",1,"Z159958","JTARGETROC2385715STK","C4","Land","SuperGroup","WELKOM","1462","South Africa","2023-03-08","2023-03-14","2023-03-13","5","Yes","Yes","-","2023-03-13"
"NA - NA","Z159961",11,"Z159961","JVEN2592385212STK","C4","Land","SuperGroup","VENETIA","1462","South Africa","2023-03-08","2023-03-10","2023-03-09","1","Yes","Yes","-","2023-03-09"
"NA - NA","Z159962",3,"Z159962","6673405285","23","Air","Sandvik CSRT","KOPAVOGUR","201","Iceland","2023-03-24","-","2023-03-29","5","Yes","-","2023-03-29","2023-03-29"
"NA - NA","Z159962",3,"Z159962","6673405285","23","Air","Sandvik CSRT","KOPAVOGUR","201","IceLand","2023-03-24","-","2023-03-29","5","Yes","-","2023-03-29","2023-03-29"
